SortType, ArrayType, ArraySize, AverageTime
mergeSort2, Reversed, 1, 0.0, 
mergeSort2, Reversed, 2, 0.0, 
mergeSort2, Reversed, 4, 0.0, 
mergeSort2, Reversed, 8, 0.0, 
mergeSort2, Reversed, 16, 0.0, 
mergeSort2, Reversed, 32, 0.0, 
mergeSort2, Reversed, 64, 0.0, 
mergeSort2, Reversed, 128, 0.0, 
mergeSort2, Reversed, 256, 2.0000001E-4, 
mergeSort2, Reversed, 512, 0.0, 
mergeSort2, Reversed, 1024, 4.0000002E-4, 
mergeSort2, Reversed, 2048, 4.0000002E-4, 
mergeSort2, Reversed, 4096, 6.0E-4, 
mergeSort2, Reversed, 8192, 0.0016000001, 
mergeSort2, Reversed, 16384, 0.0042, 
mergeSort2, Reversed, 32768, 0.0042, 
mergeSort2, Reversed, 65536, 0.0138, 
mergeSort2, Reversed, 131072, 0.026, 
mergeSort2, Reversed, 262144, 0.0542, 
mergeSort2, Reversed, 524288, 0.0722, 
mergeSort2, Reversed, 1048576, 0.1082, 
mergeSort2, Reversed, 2097152, 0.1088, 
mergeSort2, Reversed, 4194304, 0.1224, 
mergeSort2, Reversed, 8388608, 0.32639998, 
mergeSort2, Reversed, 16777216, 1.6961999, 
SortType, ArrayType, ArraySize, AverageTime
mergeSort2, Reversed, 1, 0.0, 
mergeSort2, Reversed, 2, 0.0, 
mergeSort2, Reversed, 4, 0.0, 
mergeSort2, Reversed, 8, 0.0, 
mergeSort2, Reversed, 16, 0.0, 
mergeSort2, Reversed, 32, 0.0, 
mergeSort2, Reversed, 64, 2.0000001E-4, 
mergeSort2, Reversed, 128, 0.0, 
mergeSort2, Reversed, 256, 0.0, 
mergeSort2, Reversed, 512, 0.0, 
mergeSort2, Reversed, 1024, 0.0, 
mergeSort2, Reversed, 2048, 0.003, 
mergeSort2, Reversed, 4096, 0.0, 
mergeSort2, Reversed, 8192, 0.0, 
mergeSort2, Reversed, 16384, 0.0061999997, 
mergeSort2, Reversed, 32768, 0.005, 
mergeSort2, Reversed, 65536, 0.0136, 
mergeSort2, Reversed, 131072, 0.0338, 
mergeSort2, Reversed, 262144, 0.0374, 
mergeSort2, Reversed, 524288, 0.073, 
