SortType, ArrayType, ArraySize, AverageTime
mergeSort2, Sorted, 1, 0.0, 
mergeSort2, Sorted, 2, 0.0, 
mergeSort2, Sorted, 4, 0.0, 
mergeSort2, Sorted, 8, 0.0, 
mergeSort2, Sorted, 16, 0.0, 
mergeSort2, Sorted, 32, 0.0, 
mergeSort2, Sorted, 64, 0.0, 
mergeSort2, Sorted, 128, 0.0, 
mergeSort2, Sorted, 256, 2.0000001E-4, 
mergeSort2, Sorted, 512, 2.0000001E-4, 
mergeSort2, Sorted, 1024, 2.0000001E-4, 
mergeSort2, Sorted, 2048, 4.0000002E-4, 
mergeSort2, Sorted, 4096, 6.0E-4, 
mergeSort2, Sorted, 8192, 0.0018, 
mergeSort2, Sorted, 16384, 0.004, 
mergeSort2, Sorted, 32768, 0.0052, 
mergeSort2, Sorted, 65536, 0.0178, 
mergeSort2, Sorted, 131072, 0.0268, 
mergeSort2, Sorted, 262144, 0.0656, 
mergeSort2, Sorted, 524288, 0.129, 
mergeSort2, Sorted, 1048576, 0.30420002, 
mergeSort2, Sorted, 2097152, 0.67759997, 
mergeSort2, Sorted, 4194304, 1.7856, 
mergeSort2, Sorted, 8388608, 1.9, 
mergeSort2, Sorted, 16777216, 10.0808, 
SortType, ArrayType, ArraySize, AverageTime
mergeSort2, Sorted, 1, 0.0, 
mergeSort2, Sorted, 2, 0.0, 
mergeSort2, Sorted, 4, 0.0, 
mergeSort2, Sorted, 8, 0.0, 
mergeSort2, Sorted, 16, 0.0, 
mergeSort2, Sorted, 32, 0.0, 
mergeSort2, Sorted, 64, 0.0, 
mergeSort2, Sorted, 128, 0.0, 
mergeSort2, Sorted, 256, 0.0, 
mergeSort2, Sorted, 512, 0.0, 
mergeSort2, Sorted, 1024, 0.003, 
mergeSort2, Sorted, 2048, 4.0000002E-4, 
mergeSort2, Sorted, 4096, 0.0, 
mergeSort2, Sorted, 8192, 0.0032000002, 
mergeSort2, Sorted, 16384, 0.0061999997, 
mergeSort2, Sorted, 32768, 0.0042, 
mergeSort2, Sorted, 65536, 0.0156000005, 
mergeSort2, Sorted, 131072, 0.04, 
mergeSort2, Sorted, 262144, 0.066599995, 
mergeSort2, Sorted, 524288, 0.1234, 
mergeSort2, Sorted, 1048576, 0.3524, 
