SortType, ArrayType, ArraySize, AverageTime
mergeSort2, Unsorted, 1, 0.0, 
mergeSort2, Unsorted, 2, 0.0, 
mergeSort2, Unsorted, 4, 0.0, 
mergeSort2, Unsorted, 8, 0.0, 
mergeSort2, Unsorted, 16, 2.0000001E-4, 
mergeSort2, Unsorted, 32, 0.0, 
mergeSort2, Unsorted, 64, 2.0000001E-4, 
mergeSort2, Unsorted, 128, 2.0000001E-4, 
mergeSort2, Unsorted, 256, 0.0, 
mergeSort2, Unsorted, 512, 0.0, 
mergeSort2, Unsorted, 1024, 2.0000001E-4, 
mergeSort2, Unsorted, 2048, 6.0E-4, 
mergeSort2, Unsorted, 4096, 6.0E-4, 
mergeSort2, Unsorted, 8192, 0.002, 
mergeSort2, Unsorted, 16384, 0.0042, 
mergeSort2, Unsorted, 32768, 0.0096, 
mergeSort2, Unsorted, 65536, 0.023799999, 
mergeSort2, Unsorted, 131072, 0.0286, 
mergeSort2, Unsorted, 262144, 0.0768, 
mergeSort2, Unsorted, 524288, 0.1462, 
mergeSort2, Unsorted, 1048576, 0.33479998, 
mergeSort2, Unsorted, 2097152, 0.7648, 
mergeSort2, Unsorted, 4194304, 1.7228, 
mergeSort2, Unsorted, 8388608, 3.5506, 
mergeSort2, Unsorted, 16777216, 12.805201, 
SortType, ArrayType, ArraySize, AverageTime
mergeSort2, Unsorted, 1, 0.0, 
mergeSort2, Unsorted, 2, 0.0, 
mergeSort2, Unsorted, 4, 0.0, 
mergeSort2, Unsorted, 8, 0.0, 
mergeSort2, Unsorted, 16, 0.0, 
mergeSort2, Unsorted, 32, 0.0, 
mergeSort2, Unsorted, 64, 0.0, 
mergeSort2, Unsorted, 128, 0.0, 
mergeSort2, Unsorted, 256, 6.0E-4, 
mergeSort2, Unsorted, 512, 0.0, 
mergeSort2, Unsorted, 1024, 0.0, 
mergeSort2, Unsorted, 2048, 0.0, 
mergeSort2, Unsorted, 4096, 0.0, 
mergeSort2, Unsorted, 8192, 0.0012, 
mergeSort2, Unsorted, 16384, 0.0066, 
mergeSort2, Unsorted, 32768, 0.012, 
mergeSort2, Unsorted, 65536, 0.022, 
mergeSort2, Unsorted, 131072, 0.0306, 
mergeSort2, Unsorted, 262144, 0.08, 
mergeSort2, Unsorted, 524288, 0.17, 
mergeSort2, Unsorted, 1048576, 0.357, 
