SortType, ArrayType, ArraySize, AverageTime
selectionSort, Unsorted, 0, 0.0, 
selectionSort2, Unsorted, 0, 0.0, 
insertionSort, Unsorted, 0, 0.0, 
insertionSort2, Unsorted, 0, 0.0, 
mergeSort, Unsorted, 0, 0.0, 
mergeSort2, Unsorted, 0, 0.0, 
quickSort, Unsorted, 0, 0.0, 
quickSort2, Unsorted, 0, 0.0, 
Array.sort, Unsorted, 0, 0.0, 
selectionSort, Sorted, 0, 0.0, 
selectionSort2, Sorted, 0, 0.0, 
insertionSort, Sorted, 0, 0.0, 
insertionSort2, Sorted, 0, 0.0, 
mergeSort, Sorted, 0, 0.0, 
mergeSort2, Sorted, 0, 0.0, 
quickSort, Sorted, 0, 0.0, 
quickSort2, Sorted, 0, 0.0, 
Array.sort, Sorted, 0, 0.0, 
selectionSort, Reversed, 0, 0.0, 
selectionSort2, Reversed, 0, 0.0, 
insertionSort, Reversed, 0, 0.0, 
insertionSort2, Reversed, 0, 0.0, 
mergeSort, Reversed, 0, 0.0, 
mergeSort2, Reversed, 0, 0.0, 
quickSort, Reversed, 0, 0.0, 
quickSort2, Reversed, 0, 0.0, 
Array.sort, Reversed, 0, 0.0, 
selectionSort, Unsorted, 10000, 0.2336, 
selectionSort2, Unsorted, 10000, 0.284, 
insertionSort, Unsorted, 10000, 0.0032000002, 
insertionSort2, Unsorted, 10000, 0.001, 
mergeSort, Unsorted, 10000, 0.0036, 
mergeSort2, Unsorted, 10000, 0.004, 
quickSort, Unsorted, 10000, 0.0038, 
quickSort2, Unsorted, 10000, 0.002, 
Array.sort, Unsorted, 10000, 0.0016000001, 
selectionSort, Sorted, 10000, 0.31039998, 
selectionSort2, Sorted, 10000, 0.29279998, 
insertionSort, Sorted, 10000, 0.0016000001, 
insertionSort2, Sorted, 10000, 8.0000004E-4, 
mergeSort, Sorted, 10000, 0.0018, 
mergeSort2, Sorted, 10000, 0.0026, 
quickSort, Sorted, 10000, 0.002, 
quickSort2, Sorted, 10000, 0.001, 
Array.sort, Sorted, 10000, 8.0000004E-4, 
selectionSort, Reversed, 10000, 0.2208, 
selectionSort2, Reversed, 10000, 0.2946, 
insertionSort, Reversed, 10000, 0.0018, 
insertionSort2, Reversed, 10000, 0.001, 
mergeSort, Reversed, 10000, 0.0018, 
mergeSort2, Reversed, 10000, 0.003, 
quickSort, Reversed, 10000, 0.0022, 
quickSort2, Reversed, 10000, 0.0024, 
Array.sort, Reversed, 10000, 0.0014, 
selectionSort, Unsorted, 20000, 0.7766, 
selectionSort2, Unsorted, 20000, 1.2148, 
insertionSort, Unsorted, 20000, 0.0038, 
insertionSort2, Unsorted, 20000, 0.0016000001, 
mergeSort, Unsorted, 20000, 0.0042, 
mergeSort2, Unsorted, 20000, 0.0058000004, 
quickSort, Unsorted, 20000, 0.0068, 
quickSort2, Unsorted, 20000, 0.0028, 
