SortType, ArrayType, ArraySIze, AverageTime 
selection, unsorted, 2, 0.0, 
insertion, unsorted, 2, 0.0, 
quick, unsorted, 2, 0.0, 
merge, unsorted, 2, 0.0, 
Arrays.sort, unsorted, 2, 0.0, 
selection, sorted, 2, 0.0, 
insertion, sorted, 2, 0.0, 
quick, sorted, 2, 0.0, 
merge, sorted, 2, 0.0, 
Arrays.sort, sorted, 2, 0.0, 
selection, reversed, 2, 0.0, 
insertion, reversed, 2, 0.0, 
quick, reversed, 2, 0.0, 
merge, reversed, 2, 0.0, 
Arrays.sort, reversed, 2, 0.0, 
selection, unsorted, 4, 0.0, 
insertion, unsorted, 4, 0.0, 
quick, unsorted, 4, 0.0, 
merge, unsorted, 4, 0.0, 
Arrays.sort, unsorted, 4, 0.0, 
selection, sorted, 4, 0.0, 
insertion, sorted, 4, 0.0, 
quick, sorted, 4, 0.0, 
merge, sorted, 4, 0.0, 
Arrays.sort, sorted, 4, 0.0, 
selection, reversed, 4, 0.0, 
insertion, reversed, 4, 0.0, 
quick, reversed, 4, 0.0, 
merge, reversed, 4, 0.0, 
Arrays.sort, reversed, 4, 0.0, 
selection, unsorted, 8, 0.0, 
insertion, unsorted, 8, 0.0, 
quick, unsorted, 8, 0.0, 
merge, unsorted, 8, 0.0, 
Arrays.sort, unsorted, 8, 0.0, 
selection, sorted, 8, 0.0, 
insertion, sorted, 8, 0.0, 
quick, sorted, 8, 0.0, 
merge, sorted, 8, 0.0, 
Arrays.sort, sorted, 8, 0.0, 
selection, reversed, 8, 0.0, 
insertion, reversed, 8, 0.0, 
quick, reversed, 8, 0.0, 
merge, reversed, 8, 0.0, 
Arrays.sort, reversed, 8, 0.0, 
selection, unsorted, 16, 0.0, 
insertion, unsorted, 16, 0.0, 
quick, unsorted, 16, 0.0, 
merge, unsorted, 16, 0.0, 
Arrays.sort, unsorted, 16, 0.0, 
selection, sorted, 16, 0.001, 
insertion, sorted, 16, 0.0, 
quick, sorted, 16, 0.0, 
merge, sorted, 16, 0.0, 
Arrays.sort, sorted, 16, 0.0, 
selection, reversed, 16, 0.0, 
insertion, reversed, 16, 0.0, 
quick, reversed, 16, 0.0, 
merge, reversed, 16, 0.0, 
Arrays.sort, reversed, 16, 0.0, 
selection, unsorted, 32, 0.001, 
insertion, unsorted, 32, 0.001, 
quick, unsorted, 32, 0.0, 
merge, unsorted, 32, 0.0, 
Arrays.sort, unsorted, 32, 0.0, 
selection, sorted, 32, 0.0, 
insertion, sorted, 32, 0.0, 
quick, sorted, 32, 0.0, 
merge, sorted, 32, 0.0, 
Arrays.sort, sorted, 32, 0.0, 
selection, reversed, 32, 0.0, 
insertion, reversed, 32, 0.0, 
quick, reversed, 32, 0.0, 
merge, reversed, 32, 0.0, 
Arrays.sort, reversed, 32, 0.0, 
selection, unsorted, 64, 0.0, 
insertion, unsorted, 64, 0.001, 
